level1	level2	level3	size
Benign tumor	Adenoma	Adenoma	7
Benign tumor	Adenoma	Adenoma	7
Benign tumor	Adenoma	Adenoma	7
Benign tumor	Adenoma	Adenoma	7
Benign tumor	Adenoma	Adenoma	7
Benign tumor	Adenoma	Adenoma	7
Benign tumor	Adenoma	Adenoma	7
Benign tumor	Central neurocytoma	Neurocytoma	5
Benign tumor	Central neurocytoma	Neurocytoma	5
Benign tumor	Central neurocytoma	Neurocytoma	5
Benign tumor	Central neurocytoma	Neurocytoma	5
Benign tumor	Central neurocytoma	Neurocytoma	5
Benign tumor	Choroid plexus tumor	Choroid plexus papilloma	32
Benign tumor	Choroid plexus tumor	Choroid plexus papilloma	32
Benign tumor	Choroid plexus tumor	Choroid plexus papilloma	32
Benign tumor	Choroid plexus tumor	Choroid plexus papilloma	32
Benign tumor	Choroid plexus tumor	Choroid plexus papilloma	32
Benign tumor	Choroid plexus tumor	Choroid plexus papilloma	32
Benign tumor	Choroid plexus tumor	Choroid plexus papilloma	32
Benign tumor	Choroid plexus tumor	Choroid plexus papilloma	32
Benign tumor	Choroid plexus tumor	Choroid plexus papilloma	32
Benign tumor	Choroid plexus tumor	Choroid plexus papilloma	32
Benign tumor	Choroid plexus tumor	Choroid plexus papilloma	32
Benign tumor	Choroid plexus tumor	Choroid plexus papilloma	32
Benign tumor	Choroid plexus tumor	Choroid plexus papilloma	32
Benign tumor	Choroid plexus tumor	Choroid plexus papilloma	32
Benign tumor	Choroid plexus tumor	Choroid plexus papilloma	32
Benign tumor	Choroid plexus tumor	Choroid plexus papilloma	32
Benign tumor	Choroid plexus tumor	Choroid plexus papilloma	32
Benign tumor	Choroid plexus tumor	Choroid plexus papilloma	32
Benign tumor	Choroid plexus tumor	Choroid plexus papilloma	32
Benign tumor	Choroid plexus tumor	Choroid plexus papilloma	32
Benign tumor	Choroid plexus tumor	Choroid plexus papilloma	32
Benign tumor	Choroid plexus tumor	Choroid plexus papilloma	32
Benign tumor	Choroid plexus tumor	Choroid plexus papilloma	32
Benign tumor	Choroid plexus tumor	Choroid plexus papilloma	32
Benign tumor	Choroid plexus tumor	Choroid plexus papilloma	32
Benign tumor	Choroid plexus tumor	Choroid plexus papilloma	32
Benign tumor	Choroid plexus tumor	Choroid plexus papilloma	32
Benign tumor	Choroid plexus tumor	Choroid plexus papilloma	32
Benign tumor	Choroid plexus tumor	Choroid plexus papilloma	32
Benign tumor	Choroid plexus tumor	Choroid plexus papilloma	32
Benign tumor	Choroid plexus tumor	Choroid plexus papilloma	32
Benign tumor	Choroid plexus tumor	Choroid plexus papilloma	32
Benign tumor	Other	Cortical Tubers	2
Benign tumor	Other	Cortical Tubers	2
Benign tumor	Other	Dermoid Cyst	5
Benign tumor	Other	Dermoid Cyst	5
Benign tumor	Other	Dermoid Cyst	5
Benign tumor	Other	Dermoid Cyst	5
Benign tumor	Other	Dermoid Cyst	5
Benign tumor	Other	Fibroma	2
Benign tumor	Other	Fibroma	2
Benign tumor	Other	Ganglioneuroma	2
Benign tumor	Other	Ganglioneuroma	2
Benign tumor	Other	Hamartoma	2
Benign tumor	Other	Hamartoma	2
Benign tumor	Other	Intraneural perineurioma	2
Benign tumor	Other	Intraneural perineurioma	2
Benign tumor	Other	Meningioangiomatosis	6
Benign tumor	Other	Meningioangiomatosis	6
Benign tumor	Other	Meningioangiomatosis	6
Benign tumor	Other	Meningioangiomatosis	6
Benign tumor	Other	Meningioangiomatosis	6
Benign tumor	Other	Meningioangiomatosis	6
Benign tumor	Other	NeuroInflammatory systemic disease	2
Benign tumor	Other	NeuroInflammatory systemic disease	2
Benign tumor	Other	Non-Langerhans Histiocytosis;JXG	4
Benign tumor	Other	Non-Langerhans Histiocytosis;JXG	4
Benign tumor	Other	Non-Langerhans Histiocytosis;JXG	4
Benign tumor	Other	Non-Langerhans Histiocytosis;JXG	4
Benign tumor	Other	Ossifying Fibroma	2
Benign tumor	Other	Ossifying Fibroma	2
Benign tumor	Other	Osteoblastoma	4
Benign tumor	Other	Osteoblastoma	4
Benign tumor	Other	Osteoblastoma	4
Benign tumor	Other	Osteoblastoma	4
Benign tumor	Other	Prolactinoma	1
Choroid plexus tumor	Chordoma	Chordoma	14
Choroid plexus tumor	Chordoma	Chordoma	14
Choroid plexus tumor	Chordoma	Chordoma	14
Choroid plexus tumor	Chordoma	Chordoma	14
Choroid plexus tumor	Chordoma	Chordoma	14
Choroid plexus tumor	Chordoma	Chordoma	14
Choroid plexus tumor	Chordoma	Chordoma	14
Choroid plexus tumor	Chordoma	Chordoma	14
Choroid plexus tumor	Chordoma	Chordoma	14
Choroid plexus tumor	Chordoma	Chordoma	14
Choroid plexus tumor	Chordoma	Chordoma	14
Choroid plexus tumor	Chordoma	Chordoma	14
Choroid plexus tumor	Chordoma	Chordoma	14
Choroid plexus tumor	Chordoma	Chordoma	14
Choroid plexus tumor	Chordoma	Choroid plexus carcinoma	8
Choroid plexus tumor	Chordoma	Choroid plexus carcinoma	8
Choroid plexus tumor	Chordoma	Choroid plexus carcinoma	8
Choroid plexus tumor	Chordoma	Choroid plexus carcinoma	8
Choroid plexus tumor	Chordoma	Choroid plexus carcinoma	8
Choroid plexus tumor	Chordoma	Choroid plexus carcinoma	8
Choroid plexus tumor	Chordoma	Choroid plexus carcinoma	8
Choroid plexus tumor	Chordoma	Choroid plexus carcinoma	8
Choroid plexus tumor	Choroid plexus tumor	Choroid plexus cyst	2
Choroid plexus tumor	Choroid plexus tumor	Choroid plexus cyst	2
CNS neuroblastoma	CNS neuroblastoma	Metastatic secondary tumors;Neuroblastoma	2
CNS neuroblastoma	CNS neuroblastoma	Metastatic secondary tumors;Neuroblastoma	2
CNS neuroblastoma	CNS neuroblastoma	Neuroblastoma	7
CNS neuroblastoma	CNS neuroblastoma	Neuroblastoma	7
CNS neuroblastoma	CNS neuroblastoma	Neuroblastoma	7
CNS neuroblastoma	CNS neuroblastoma	Neuroblastoma	7
CNS neuroblastoma	CNS neuroblastoma	Neuroblastoma	7
CNS neuroblastoma	CNS neuroblastoma	Neuroblastoma	7
CNS neuroblastoma	CNS neuroblastoma	Neuroblastoma	7
CNS neuroblastoma	CNS neuroblastoma	Neurocytoma	1
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
Diffuse astrocytic and oligodendroglial tumor	HGAT	Brainstem glioma;Diffuse intrinsic pontine glioma	119
